Horario,Umidade,Pressao,Temperatura
17/10/1961-0000,62,885,21.8
17/10/1961-1200,42,887.4,25.4
17/10/1961-1800,34,883.4,28.6
18/10/1961-0000,55,886.3,22.7
18/10/1961-1200,39,886.2,25.4
18/10/1961-1800,28,883,30.6
19/10/1961-0000,45,886.3,24.8
19/10/1961-1200,39,886,25.9
19/10/1961-1800,28,883.9,30.4
20/10/1961-0000,50,886.4,22.4
20/10/1961-1200,37,888.3,24.5
20/10/1961-1800,31,884.6,29.2
21/10/1961-0000,50,886.4,22.4
21/10/1961-1200,53,889.1,22.8
21/10/1961-1800,28,886.7,28.9
22/10/1961-0000,47,888,22.6
22/10/1961-1200,39,889.4,23.6
22/10/1961-1800,24,885.9,30
23/10/1961-0000,36,886.2,23.4
23/10/1961-1200,48,889,24.2
23/10/1961-1800,31,886.6,28
24/10/1961-0000,48,888.6,22
24/10/1961-1200,38,888.6,25.4
24/10/1961-1800,22,884.7,29.6
25/10/1961-0000,42,886.6,24.3
25/10/1961-1200,34,886.6,27.2
25/10/1961-1800,26,882,30.2
26/10/1961-0000,39,885.1,24.5
26/10/1961-1200,30,884.6,28.6
26/10/1961-1800,75,884.4,19.8
27/10/1961-1200,91,889.2,18.4
27/10/1961-1800,65,885.5,22.2
28/10/1961-1200,92,886.6,18.2
28/10/1961-1800,76,883.8,21.2
30/10/1961-1200,80,887.2,19.6
30/10/1961-1800,71,883.9,21.2
31/10/1961-1200,59,885.5,21.9
31/10/1961-1800,46,883.1,24.4
01/11/1961-1200,51,886.2,24.4
01/11/1961-1800,34,883.5,28.8
02/11/1961-1200,42,886.6,25.8
02/11/1961-1800,29,882.7,28.8
03/11/1961-1200,69,885.2,22.2
03/11/1961-1800,42,880.7,28
04/11/1961-1200,93,885.5,18
04/11/1961-1800,56,879.6,26
05/11/1961-1200,71,884,22.2
06/11/1961-1200,67,885.1,24.6
06/11/1961-1800,58,881.9,24.6
07/11/1961-1200,72,887,23
07/11/1961-1800,78,884.3,22.4
08/11/1961-1200,77,883.9,22
08/11/1961-1800,57,886.2,26
09/11/1961-1200,70,886.7,22.2
09/11/1961-1800,54,885.5,26.8
10/11/1961-1200,68,886.6,24.5
10/11/1961-1800,95,883.8,18
11/11/1961-1200,73,886.6,23.2
11/11/1961-1800,83,883.6,21.6
12/11/1961-1200,73,885.2,20.6
12/11/1961-1800,57,882.3,25.4
13/11/1961-0000,84,884.6,20
13/11/1961-1200,78,885,23
13/11/1961-1800,35,881.1,29.1
14/11/1961-0000,84,884.6,20
14/11/1961-1200,65,885.5,22.4
14/11/1961-1800,47,882,27.8
15/11/1961-0000,85,883.9,20.2
15/11/1961-1200,71,885.6,25.2
15/11/1961-1800,70,883.5,23.8
16/11/1961-0000,91,885.4,20
16/11/1961-1200,74,887.9,22.8
16/11/1961-1800,68,886.2,23.4
17/11/1961-0000,86,886.6,19.4
17/11/1961-1200,78,887.8,21.4
17/11/1961-1800,57,885.5,26.8
18/11/1961-0000,81,885.6,21
18/11/1961-1200,67,887.8,20.8
18/11/1961-1800,44,884.2,26.2
20/11/1961-1200,45,887.8,25.2
20/11/1961-1800,28,885.4,28.4
21/11/1961-1200,35,886.6,27.6
21/11/1961-1800,29,883.9,30.1
22/11/1961-1200,41,885.2,28.2
22/11/1961-1800,30,883.2,31.4
23/11/1961-1200,48,886,27
23/11/1961-1800,27,882.8,32.4
24/11/1961-1200,54,886.4,25.4
25/11/1961-1200,54,886.4,25.4
25/11/1961-1800,25,883.9,31.8
26/11/1961-1200,29,885.9,28.6
27/11/1961-1200,53,883.6,25
27/11/1961-1800,24,885.4,30.8
28/11/1961-1200,36,885.1,28
28/11/1961-1800,26,881.9,32
29/11/1961-1200,63,883.5,25.4
29/11/1961-1800,41,880.8,30.1
30/11/1961-1200,61,885.4,26.2
30/11/1961-1800,87,884.3,20.4
08/01/1962-1200,98,887.2,20.2
08/01/1962-1800,93,884.2,21.6
09/01/1962-1200,66,886.4,24.6
09/01/1962-1800,57,883.1,26.8
10/01/1962-1200,88,885.1,19.6
10/01/1962-1800,71,882.6,23.2
11/01/1962-1200,91,883.4,20.3
11/01/1962-1800,95,882.6,19.4
12/01/1962-1200,84,884,20
12/01/1962-1800,75,881.9,21.8
13/01/1962-1200,80,883.6,21.4
13/01/1962-1800,70,881.4,24.2
14/01/1962-1200,86,884.8,20.4
14/01/1962-1800,74,882.3,22.8
15/01/1962-1200,88,884.2,20.2
15/01/1962-1800,68,881.6,24.6
16/01/1962-1200,96,883.1,19
16/01/1962-1800,80,881.6,22.2
17/01/1962-1200,87,885.4,20.6
17/01/1962-1800,67,882.7,25.2
18/01/1962-1200,73,886.7,22.6
18/01/1962-1800,56,884,26.2
19/01/1962-1200,61,886.3,24
19/01/1962-1800,48,883.2,29
20/01/1962-1200,66,886.4,24.2
20/01/1962-1800,81,885.1,22.6
22/01/1962-1200,83,887.2,21.2
22/01/1962-1800,79,883.6,23
23/01/1962-1200,65,886.4,23.2
23/01/1962-1800,80,883.5,22.4
24/01/1962-1200,95,887.2,19.2
25/01/1962-1200,86,887.1,21
25/01/1962-1800,56,884.4,27
26/01/1962-1200,77,886.9,22.6
26/01/1962-1800,59,884.2,25.4
27/01/1962-1200,85,887.5,20.8
27/01/1962-1800,58,883.9,26.8
29/01/1962-1200,75,885.5,23.2
29/01/1962-1800,61,882.3,26.4
30/01/1962-1200,86,885.2,20.2
30/01/1962-1800,73,882.2,24.2
31/01/1962-1200,80,884.6,22
31/01/1962-1800,67,881.5,25.2
01/02/1962-1200,80,885.5,21.6
01/02/1962-1800,57,882.3,27.2
02/02/1962-1200,84,886.2,21.6
02/02/1962-1800,56,883.8,27
03/02/1962-1200,86,886.6,21.2
03/02/1962-1800,85,883.9,21
05/02/1962-1200,72,887.1,22.2
05/02/1962-1800,79,886.2,20.4
16/04/1962-0000,64,887,20.4
16/04/1962-1200,54,887.9,22.2
16/04/1962-1800,39,884.7,27
17/04/1962-0000,64,887,20.4
17/04/1962-1200,52,890.3,22.3
17/04/1962-1800,35,887,28.4
18/04/1962-0000,65,887.9,19
18/04/1962-1200,47,888.2,23.2
18/04/1962-1800,32,885.4,28.2
19/04/1962-0000,56,886.6,20
19/04/1962-1200,64,886.6,19.2
19/04/1962-1800,35,885.4,28.2
20/04/1962-0000,64,885.1,20.6
20/04/1962-1200,56,887.4,23
20/04/1962-1800,40,884.6,28.2
21/04/1962-0000,71,885.1,20.8
21/04/1962-1200,75,886.4,20
21/04/1962-1800,47,885,27
22/04/1962-0000,85,883.9,18
22/04/1962-1200,98,883.5,18
22/04/1962-1800,61,882.6,25
23/04/1962-0000,86,883.5,18
23/04/1962-1200,73,882.3,22.2
23/04/1962-1800,49,887.5,26.4
24/04/1962-0000,86,885.5,18.8
24/04/1962-1200,61,888,23
24/04/1962-1800,53,887.2,25.4
25/04/1962-0000,86,885.9,19.8
25/04/1962-1200,86,887.5,20.4
25/04/1962-1800,63,885.1,24.6
26/04/1962-0000,90,889,19
26/04/1962-1200,96,890,18.6
26/04/1962-1800,88,885.2,21.3
27/04/1962-0000,90,886.7,18.4
27/04/1962-1200,85,888,20.1
27/04/1962-1800,59,886.2,24.4
28/04/1962-0000,92,885.6,19.4
28/04/1962-1200,80,887.8,21
28/04/1962-1800,76,884.3,22.1
29/04/1962-0000,86,886.2,19
29/04/1962-1200,74,886.7,22.1
29/04/1962-1800,74,883.9,23
30/04/1962-0000,96,887.5,18.4
30/04/1962-1200,71,884.8,21.5
30/04/1962-1800,81,885.9,22
01/05/1962-0000,94,886,18.6
01/05/1962-1200,68,886.6,23
01/05/1962-1800,57,883.5,26.3
02/05/1962-0000,87,884.7,20
02/05/1962-1200,69,885.9,24
02/05/1962-1800,52,882.8,27.4
03/05/1962-0000,80,884,21
03/05/1962-1200,70,887.1,23.8
03/05/1962-1800,55,886.2,27
04/05/1962-0000,86,885.9,20.6
04/05/1962-1200,69,887.6,22.8
04/05/1962-1800,52,886,27
05/05/1962-0000,88,888.6,19.4
05/05/1962-1200,79,885.6,20.1
05/05/1962-1800,68,884.6,23
06/05/1962-0000,81,886.7,20.6
06/05/1962-1200,74,886.7,21
06/05/1962-1800,47,883.9,26.6
07/05/1962-0000,76,886.4,19
07/05/1962-1200,52,888,19.6
07/05/1962-1800,46,885.6,24.8
08/05/1962-0000,74,886.6,17.6
08/05/1962-1200,51,888.2,19
08/05/1962-1800,42,888.8,23.6
09/05/1962-0000,80,890.2,17.4
09/05/1962-1200,84,888.2,16.2
09/05/1962-1800,57,888,21.6
10/05/1962-0000,91,890.4,15.6
10/05/1962-1200,78,892,16.4
10/05/1962-1800,65,888.7,20.4
11/05/1962-0000,80,888.2,16.2
11/05/1962-1200,79,893.6,14.2
11/05/1962-1800,46,891.1,21
12/05/1962-0000,68,890.4,14.6
12/05/1962-1200,68,891.4,15.4
12/05/1962-1800,54,887.4,19.8
13/05/1962-0000,81,890,14.2
13/05/1962-1200,92,890,14.4
13/05/1962-1800,51,887.1,22
14/05/1962-0000,82,887.5,15.6
14/05/1962-1200,66,884,17.8
14/05/1962-1800,52,885.6,20.8
15/05/1962-0000,80,887.6,16
15/05/1962-1200,67,887,18
15/05/1962-1800,41,886.3,24
16/05/1962-0000,78,887.2,16
16/05/1962-1200,67,887.4,19.4
16/05/1962-1800,86,885.9,17.6
17/05/1962-0000,74,886.9,17.9
17/05/1962-1200,63,887,20.6
17/05/1962-1800,56,887.1,21.2
18/05/1962-0000,69,885.8,18.8
18/05/1962-1200,59,888,21
18/05/1962-1800,38,886.3,26
19/05/1962-0000,75,890,17.6
19/05/1962-1200,66,888.3,20
19/05/1962-1800,46,886.4,24.4
20/05/1962-0000,80,887,18.9
20/05/1962-1200,62,888.7,19.8
20/05/1962-1800,44,886.3,24
21/05/1962-0000,66,888.7,19.2
21/05/1962-1200,70,886.6,19.8
21/05/1962-1800,50,886.4,24
22/05/1962-0000,70,885.6,20
22/05/1962-1200,63,888.4,19
22/05/1962-1800,41,886,25.8
23/05/1962-0000,66,889.2,17.8
23/05/1962-1200,61,891.1,19.8
23/05/1962-1800,42,887.9,25.2
24/05/1962-0000,70,888.8,17.8
24/05/1962-1200,65,889.4,19.4
24/05/1962-1800,38,885.8,26
25/05/1962-0000,66,887.8,18.2
25/05/1962-1200,90,888.2,19
25/05/1962-1800,35,884.3,26
26/05/1962-0000,64,885.6,18
26/05/1962-1200,49,885.9,21.8
26/05/1962-1800,37,884.2,25.8
27/05/1962-0000,71,887.1,16.8
27/05/1962-1200,51,886.2,22
27/05/1962-1800,37,881.5,25
28/05/1962-0000,81,887.2,16.9
28/05/1962-1200,63,887.8,21
28/05/1962-1800,36,885,26
29/05/1962-0000,71,887.9,17.4
29/05/1962-1200,53,889.9,21.6
29/05/1962-1800,35,886.2,25.8
30/05/1962-0000,81,886.4,17.2
30/05/1962-1200,92,890.3,14
30/05/1962-1800,55,889,22.8
31/05/1962-0000,42,888.6,22.4
31/05/1962-1200,48,889.5,14.2
31/05/1962-1800,47,886.7,22.6
01/06/1962-0000,69,889.1,16.4
01/06/1962-1200,71,889.1,17
01/06/1962-1800,54,889,23.8
02/06/1962-0000,69,887.9,16.8
02/06/1962-1200,59,891.8,14
02/06/1962-1800,52,888,23.4
03/06/1962-0000,49,887,20.8
03/06/1962-1200,75,888.8,15
03/06/1962-1800,87,888.7,19.6
04/06/1962-0000,80,887.1,16.2
04/06/1962-1200,61,890.8,18.6
04/06/1962-1800,80,886.6,19
05/06/1962-0000,69,888.7,17.2
05/06/1962-1200,62,890.6,19.4
05/06/1962-1800,41,887.5,25.8
06/06/1962-0000,72,888.4,17.6
06/06/1962-1200,69,890.2,18.2
06/06/1962-1800,44,887.4,23.8
07/06/1962-0000,73,888.3,17.4
07/06/1962-1200,68,888.7,18.6
07/06/1962-1800,42,887,25
08/06/1962-0000,74,888.6,16.4
08/06/1962-1200,53,888.7,21.2
08/06/1962-1800,33,886.2,26.8
09/06/1962-0000,73,885.9,18.6
09/06/1962-1200,59,886.3,21.4
09/06/1962-1800,41,886.3,24.4
10/06/1962-0000,85,885.5,15.6
10/06/1962-1200,90,887.8,14
10/06/1962-1800,54,886.7,21
11/06/1962-0000,58,888,19
11/06/1962-1200,65,886.8,16.8
11/06/1962-1800,46,884.7,24.2
12/06/1962-0000,61,888,17.4
12/06/1962-1200,70,891,14.2
12/06/1962-1800,39,887.2,24.2
13/06/1962-0000,63,887.9,15.6
13/06/1962-1200,59,891.9,16.8
13/06/1962-1800,38,886.7,25.4
14/06/1962-0000,69,888.3,17
14/06/1962-1200,55,889,18
14/06/1962-1800,40,887.4,25.4
15/06/1962-0000,64,888.8,17
15/06/1962-1200,56,890.7,17.2
15/06/1962-1800,40,886.6,24.8
16/06/1962-0000,75,889.1,16.8
16/06/1962-1200,69,890,16.8
16/06/1962-1800,50,887.9,23
17/06/1962-0000,75,891.2,17
17/06/1962-1200,55,891.5,17.8
17/06/1962-1800,61,888.2,19.8
18/06/1962-0000,71,891.1,13.6
18/06/1962-1200,69,891.9,13.6
18/06/1962-1800,37,890.3,21
19/06/1962-0000,68,890,12.8
19/06/1962-1200,58,892.4,15.2
19/06/1962-1800,40,888.2,22.1
20/06/1962-0000,74,890.3,13.8
20/06/1962-1200,74,891.8,15.8
20/06/1962-1800,38,890.2,22.8
21/06/1962-0000,70,892.7,14.6
21/06/1962-1200,72,891.4,16.2
21/06/1962-1800,37,889,24.2
22/06/1962-0000,59,890,15.6
22/06/1962-1200,64,889.8,17.2
22/06/1962-1800,33,887.2,26.4
23/06/1962-0000,60,888.2,17.6
23/06/1962-1200,60,887.9,20
23/06/1962-1800,41,885.8,25.2
24/06/1962-0000,60,888.7,20
24/06/1962-1200,65,887.5,19
24/06/1962-1800,38,887.8,26
25/06/1962-0000,42,886.6,24.8
25/06/1962-1200,64,887.9,19.4
25/06/1962-1800,40,888.6,25.3
26/06/1962-0000,87,887,16
26/06/1962-1200,66,891.6,17.2
26/06/1962-1800,40,886.6,24.8
27/06/1962-0000,84,888.2,19.6
27/06/1962-1200,60,891.2,16.2
27/06/1962-1800,44,889.4,21.8
28/06/1962-0000,57,888.2,18.6
28/06/1962-1200,64,893.5,14.8
28/06/1962-1800,37,891.1,21
29/06/1962-0000,75,892.6,15.7
29/06/1962-1200,74,892.4,15.8
29/06/1962-1800,42,890.3,22.8
30/06/1962-0000,81,892.3,15
30/06/1962-1200,76,891.6,16.8
30/06/1962-1800,45,888.4,22
01/07/1962-0000,68,892.6,15.4
01/07/1962-1200,63,893.2,15.6
01/07/1962-1800,40,890,21.8
02/07/1962-0000,70,891.8,14.9
02/07/1962-1200,56,892.4,17.4
02/07/1962-1800,57,890.8,22.8
03/07/1962-0000,70,891.2,14.6
03/07/1962-1200,70,890,15
03/07/1962-1800,37,889.1,23.8
04/07/1962-0000,74,888.6,15
04/07/1962-1200,52,889.2,17
04/07/1962-1800,32,886.7,24.4
05/07/1962-0000,65,888.6,16
05/07/1962-1200,64,889.4,16.2
05/07/1962-1800,28,888.4,24.4
06/07/1962-0000,62,889.2,16.6
06/07/1962-1200,57,891.1,17.7
06/07/1962-1800,42,888.6,24.8
07/07/1962-0000,70,890,16.7
07/07/1962-1200,73,890,14.5
07/07/1962-1800,39,888.8,24.4
08/07/1962-0000,65,889.6,16.3
08/07/1962-1200,62,890.7,16.9
08/07/1962-1800,38,889.9,25.5
09/07/1962-0000,59,890.3,17.1
09/07/1962-1200,68,892.3,17.3
09/07/1962-1800,37,890.6,24.9
10/07/1962-0000,66,892.3,17
10/07/1962-1200,61,888.6,17.6
10/07/1962-1800,36,889,25.6
11/07/1962-0000,51,890,18.9
11/07/1962-1200,62,891.6,19.4
11/07/1962-1800,35,889.1,25.6
12/07/1962-0000,62,893.6,20.5
12/07/1962-1200,50,891.8,20.9
12/07/1962-1800,35,888.8,25.8
13/07/1962-0000,62,888,16.6
13/07/1962-1200,90,891.1,14.2
13/07/1962-1800,24,888.2,25.5
14/07/1962-0000,51,888.8,17.4
14/07/1962-1200,46,890.8,19.3
14/07/1962-1800,33,888.6,25.5
15/07/1962-0000,57,889.6,16.9
15/07/1962-1200,56,889.8,19
15/07/1962-1800,31,887.1,25
16/07/1962-0000,62,891.1,17.4
16/07/1962-1200,71,892,19.2
16/07/1962-1800,45,888.8,23.4
17/07/1962-0000,66,889.5,18.4
17/07/1962-1200,65,891,17
17/07/1962-1800,36,887.9,25
18/07/1962-0000,56,890.3,17.2
18/07/1962-1200,55,889.9,18
18/07/1962-1800,34,887.1,24.4
19/07/1962-0000,59,888.6,16.8
19/07/1962-1200,46,891.6,19
19/07/1962-1800,24,889,25
20/07/1962-0000,52,890,17.6
20/07/1962-1200,67,891.4,17.2
20/07/1962-1800,39,887.9,24.6
21/07/1962-0000,67,889.5,17.6
21/07/1962-1200,88,892.3,14.2
21/07/1962-1800,37,889.2,24.8
22/07/1962-0000,87,890.8,13.2
22/07/1962-1200,74,893.6,14
22/07/1962-1800,30,888,23
23/07/1962-0000,63,892.7,17
23/07/1962-1200,68,888.4,12
23/07/1962-1800,29,889.1,22.8
24/07/1962-0000,42,888.3,16
24/07/1962-1200,49,890.3,15
24/07/1962-1800,23,886.7,24
25/07/1962-0000,49,888,16.4
25/07/1962-1200,56,892,16
25/07/1962-1800,37,887.5,23.6
26/07/1962-0000,50,885.8,18.2
26/07/1962-1200,51,888.4,19.8
26/07/1962-1800,28,885.2,25.8
27/07/1962-0000,53,890.4,17.4
27/07/1962-1200,64,891.5,15.4
27/07/1962-1800,30,888.7,25
28/07/1962-0000,42,888.4,16
28/07/1962-1200,46,891.6,12
28/07/1962-1800,25,888,25
29/07/1962-0000,88,892.3,14.4
29/07/1962-1200,88,896.6,14.8
29/07/1962-1800,28,887.6,26
30/07/1962-0000,74,891.9,16
30/07/1962-1200,58,891.4,19
30/07/1962-1800,29,887.9,27
31/07/1962-0000,78,892.2,15.6
31/07/1962-1200,55,894.2,19.6
31/07/1962-1800,30,891.2,26.4
01/08/1962-0000,66,893.4,17
01/08/1962-1200,53,898.6,17.2
01/08/1962-1800,25,890.7,25.2
02/08/1962-0000,58,896.6,15.3
02/08/1962-1200,60,894.3,17.6
02/08/1962-1800,23,889.6,25.8
03/08/1962-0000,45,890.6,17.4
03/08/1962-1200,56,897.2,19
03/08/1962-1800,29,893.4,25
04/08/1962-0000,57,892,17
04/08/1962-1200,55,891.5,18.6
04/08/1962-1800,31,890.3,24.2
05/08/1962-0000,55,890.6,17.9
05/08/1962-1200,62,894.2,19
05/08/1962-1800,39,891.4,24
06/08/1962-0000,66,892.2,18
06/08/1962-1200,61,894.2,16.8
06/08/1962-1800,31,889.8,24.2
07/08/1962-0000,78,895.1,18.6
07/08/1962-1200,68,893.8,17.4
07/08/1962-1800,40,888.4,24
08/08/1962-0000,56,892.8,19
08/08/1962-1200,60,893.8,18
08/08/1962-1800,36,886.8,25.1
09/08/1962-0000,82,891.5,16
09/08/1962-1200,56,893.9,19.6
09/08/1962-1800,35,886.6,25
10/08/1962-0000,55,888.8,18
10/08/1962-1200,47,892.3,20.2
10/08/1962-1800,30,886,26.2
11/08/1962-0000,55,889.1,18
11/08/1962-1200,42,889.5,21.8
11/08/1962-1800,26,882.3,28
12/08/1962-0000,42,886.3,21.6
12/08/1962-1200,43,887.9,23
12/08/1962-1800,26,880.7,28.6
13/08/1962-0000,70,885.6,18
13/08/1962-1200,57,889,20.6
13/08/1962-1800,30,884.8,27
14/08/1962-0000,47,888.3,21.4
14/08/1962-1200,50,892.6,21.2
14/08/1962-1800,28,886,27.2
15/08/1962-0000,49,890,20.2
15/08/1962-1200,55,896,21.4
15/08/1962-1800,65,890.7,17
16/08/1962-0000,56,892.4,20.6
16/08/1962-1200,64,894.7,18.4
16/08/1962-1800,35,887.6,26
17/08/1962-0000,81,890.8,17
17/08/1962-1200,62,891.4,19.4
17/08/1962-1800,39,886.7,25.6
18/08/1962-0000,69,889.1,18.4
18/08/1962-1200,50,890.4,21.6
18/08/1962-1800,31,884.7,27.8
19/08/1962-0000,52,886.7,20
19/08/1962-1200,35,891.6,25.6
19/08/1962-1800,44,886.3,23
20/08/1962-0000,53,890.8,19.8
20/08/1962-1200,38,890.6,23.2
20/08/1962-1800,26,887.4,28.4
21/08/1962-0000,34,885.8,21.6
21/08/1962-1200,46,891.6,22.4
21/08/1962-1800,34,886.3,27
22/08/1962-0000,47,890.2,22
22/08/1962-1200,51,890,19
22/08/1962-1800,33,885.4,23.4
23/08/1962-0000,68,886,20
23/08/1962-1200,69,887.8,19
23/08/1962-1800,43,885.4,25
24/08/1962-0000,67,887.1,16.8
24/08/1962-1200,77,888.3,14.8
24/08/1962-1800,58,887.4,20
25/08/1962-0000,57,887.1,14.2
25/08/1962-1200,37,890.8,18.6
25/08/1962-1800,25,886.7,28
26/08/1962-0000,33,886.8,21
26/08/1962-1200,23,888.3,21
26/08/1962-1800,33,885.4,28
27/08/1962-0000,67,888.3,19
27/08/1962-1200,52,891.5,23
27/08/1962-1800,40,887,25
28/08/1962-0000,47,888.7,20.2
28/08/1962-1200,31,891,23.6
28/08/1962-1800,17,886.3,29.6
29/08/1962-0000,18,888.2,27
29/08/1962-1200,36,889.1,22.6
29/08/1962-1800,23,885.4,28.4
30/08/1962-0000,29,887.8,26
30/08/1962-1200,34,888.2,24.4
30/08/1962-1800,26,884.7,28
31/08/1962-0000,75,887.8,19
31/08/1962-1200,40,888.3,23.4
31/08/1962-1800,27,885,29
01/09/1962-0000,48,887.6,22.8
01/09/1962-1200,56,887.9,23
01/09/1962-1800,31,884.4,29.3
02/09/1962-0000,45,886.7,23.8
02/09/1962-1200,52,889.2,23
02/09/1962-1800,28,885.1,30.4
03/09/1962-0000,43,887.6,24.2
03/09/1962-1200,90,891,18.2
03/09/1962-1800,68,888.6,23.2
04/09/1962-0000,79,890.4,19.8
04/09/1962-1200,67,890.8,21.5
04/09/1962-1800,38,887.9,28.4
05/09/1962-0000,52,888.8,23
05/09/1962-1200,59,891,21.2
05/09/1962-1800,35,886.7,28
06/09/1962-0000,50,887.9,22.4
06/09/1962-1200,54,889.2,21.4
06/09/1962-1800,36,885.6,27
07/09/1962-0000,54,887,22.2
07/09/1962-1200,56,888.2,21
07/09/1962-1800,32,886.2,27.6
08/09/1962-0000,50,887.2,22.4
08/09/1962-1200,39,888.7,24.6
08/09/1962-1800,32,885.5,29.3
09/09/1962-0000,44,886.3,25
09/09/1962-1200,41,887,24
09/09/1962-1800,43,884.7,25
10/09/1962-0000,44,888.3,23.2
10/09/1962-1200,41,888.4,24.4
10/09/1962-1800,24,885.8,29.2
11/09/1962-0000,46,888.2,25.5
11/09/1962-1200,38,891,24.3
11/09/1962-1800,24,886.3,30.2
12/09/1962-0000,45,885.6,22.8
12/09/1962-1200,35,887.5,26
12/09/1962-1800,23,885,31.1
13/09/1962-0000,38,886,24.3
13/09/1962-1200,51,888.6,23.5
13/09/1962-1800,22,883.6,31.1
14/09/1962-0000,34,885.6,25.6
14/09/1962-1200,78,887.6,18.6
14/09/1962-1800,41,885.4,24.3
15/09/1962-0000,76,887.9,18.4
15/09/1962-1200,92,890,16.3
15/09/1962-1800,64,887.4,21.1
16/09/1962-0000,79,888.7,17.4
16/09/1962-1200,79,890.8,15
16/09/1962-1800,40,887.4,24.8
17/09/1962-0000,64,889.4,19.2
17/09/1962-1200,58,890.6,19.6
17/09/1962-1800,29,886.8,27.5
18/09/1962-0000,53,888.3,20
18/09/1962-1200,41,889.9,20.6
18/09/1962-1800,26,887.4,27.7
19/09/1962-0000,39,887.8,21
19/09/1962-1200,28,890.2,22
